Last updated:   09/10/2021,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Countries and areas,ISO3,Population," Secured Vaccine, Before Adjustment (millions of courses) ", Adjustment (millions of courses) ,Secured Vaccine (millions of courses), Vaccine Needed to Reach 60% of Population (millions of courses) , Bilateral Deals (millions of courses) , Donations (millions of courses) , COVAX donations (millions of courses) , COVAX AMC/SFP (millions of courses) , EU Deal (millions of courses) , Other sources (millions of courses) , Domestic Supply (millions of courses) ," Secured Vaccine, Before Adjustment (% of population) ", Adjustment (% of population) , Secured Vaccine (% of population) , Vaccine Needed to Reach 60% of Population (% of population) , Bilateral Deals (% of population) , Donations (% of population) , COVAX donations (% of population) , COVAX AMC/SFP (% of population) , EU Deal (% of population) , Other sources (% of population) , Domestic Supply (% of population) 
Canada,CAN,"37,742,157",175,-19,156, -   ,174,1, -   ,1, -   , -   ,,463,-49,414, -   ,460,1, -   ,2, -   , -   ,
Italy,ITA,"60,461,828",207, -   ,207, -   ,35, -   , -   , -   ,172, -   ,,343, -   ,343, -   ,58, -   , -   , -   ,285, -   ,
New Zealand,NZL,"4,822,233",16, -   ,16, -   ,16, -   , -   ,0, -   , -   ,,336, -   ,336, -   ,335, -   , -   ,1, -   , -   ,
Australia,AUS,"25,499,881",83, -   ,83, -   ,83, -   , -   ,0, -   , -   ,,326, -   ,326, -   ,325, -   , -   ,1, -   , -   ,
Hungary,HUN,"9,660,350",31, -   ,31, -   ,4, -   , -   , -   ,28, -   ,,321, -   ,321, -   ,36, -   , -   , -   ,285, -   ,
Slovak Republic,SVK,"5,459,643",17, -   ,17, -   ,1,0, -   , -   ,16, -   ,,303, -   ,303, -   ,18,0, -   , -   ,285, -   ,
Germany,DEU,"83,783,945",254, -   ,254, -   ,15, -   , -   , -   ,239, -   ,,303, -   ,303, -   ,18, -   , -   , -   ,285, -   ,
Cyprus,CYP,"1,207,361",4, -   ,4, -   , -   ,0, -   , -   ,3, -   ,,294, -   ,294, -   , -   ,9, -   , -   ,285, -   ,
Czech Republic,CZE,"10,708,982",31, -   ,31, -   , -   ,0, -   , -   ,31, -   ,,285, -   ,285, -   , -   ,0, -   , -   ,285, -   ,
France,FRA,"65,273,512",186, -   ,186, -   , -   , -   , -   , -   ,186, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Denmark,DNK,"5,792,203",17, -   ,17, -   , -   , -   , -   , -   ,17, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Slovenia,SVN,"2,078,932",6, -   ,6, -   , -   , -   , -   , -   ,6, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Luxembourg,LUX,"625,976",2, -   ,2, -   , -   , -   , -   , -   ,2, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Croatia,HRV,"4,105,268",12, -   ,12, -   , -   , -   , -   , -   ,12, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Austria,AUT,"9,006,400",26, -   ,26, -   , -   , -   , -   , -   ,26, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Ireland,IRL,"4,937,796",14, -   ,14, -   , -   , -   , -   , -   ,14, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Netherlands,NLD,"17,134,873",49, -   ,49, -   , -   , -   , -   , -   ,49, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Malta,MLT,"441,539",1, -   ,1, -   , -   , -   , -   , -   ,1, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Portugal,PRT,"10,196,707",29, -   ,29, -   , -   , -   , -   , -   ,29, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Estonia,EST,"1,326,539",4, -   ,4, -   , -   , -   , -   , -   ,4, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Bulgaria,BGR,"6,948,445",20, -   ,20, -   , -   , -   , -   , -   ,20, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Lithuania,LTU,"2,722,291",8, -   ,8, -   , -   , -   , -   , -   ,8, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Spain,ESP,"46,754,783",133, -   ,133, -   , -   , -   , -   , -   ,133, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Romania,ROU,"19,237,682",55, -   ,55, -   , -   , -   , -   , -   ,55, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Latvia,LVA,"1,886,202",5, -   ,5, -   , -   , -   , -   , -   ,5, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Poland,POL,"37,846,605",108, -   ,108, -   , -   , -   , -   , -   ,108, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Greece,GRC,"10,423,056",30, -   ,30, -   , -   , -   , -   , -   ,30, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Finland,FIN,"5,540,718",16, -   ,16, -   , -   , -   , -   , -   ,16, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Sweden,SWE,"10,099,270",29, -   ,29, -   , -   , -   , -   , -   ,29, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
Belgium,BEL,"11,589,616",33, -   ,33, -   , -   , -   , -   , -   ,33, -   ,,285, -   ,285, -   , -   , -   , -   , -   ,285, -   ,
United Kingdom,GBR,"67,886,004",186, -   ,186, -   ,186, -   , -   ,0, -   , -   ,,274, -   ,274, -   ,274, -   , -   ,0, -   , -   ,
Switzerland,CHE,"8,654,618",23, -   ,23, -   ,23, -   , -   , -   , -   , -   ,,269, -   ,269, -   ,269, -   , -   , -   , -   , -   ,
Israel,ISR,"8,655,541",22, -   ,22, -   ,22, -   , -   ,0, -   , -   ,,256, -   ,256, -   ,255, -   , -   ,1, -   , -   ,
Seychelles,SYC,"98,340",0, -   ,0, -   , -   ,0,0, -   , -   ,0,,242, -   ,242, -   , -   ,51,18, -   , -   ,173,
United States,USA,"331,002,647",800, -   ,800, -   ,800, -   , -   , -   , -   , -   ,,242, -   ,242, -   ,242, -   , -   , -   , -   , -   ,
Mauritius,MUS,"1,271,767",3, -   ,3, -   ,2,0, -   ,0, -   ,1,,242, -   ,242, -   ,138,8, -   ,7, -   ,89,
Chile,CHL,"19,116,209",43, -   ,43, -   ,43, -   , -   ,1, -   , -   ,,227, -   ,227, -   ,224, -   , -   ,3, -   , -   ,
Korea,KOR,"51,269,183",106, -   ,106, -   ,104,1, -   ,1, -   , -   ,,207, -   ,207, -   ,203,2, -   ,2, -   , -   ,
Iceland,ISL,"341,250", -   ,1,1, -   , -   , -   , -   , -   , -   , -   ,, -   ,189,189, -   , -   , -   , -   , -   , -   , -   ,
Malaysia,MYS,"32,365,998",55, -   ,55, -   ,52,1,0,1, -   , -   ,,169, -   ,169, -   ,162,4,1,2, -   , -   ,
Japan,JPN,"126,476,458",207, -   ,207, -   ,207, -   , -   , -   , -   , -   ,,164, -   ,164, -   ,164, -   , -   , -   , -   , -   ,
Bhutan,BTN,"771,612",1, -   ,1, -   , -   ,1,0,0, -   , -   ,,158, -   ,158, -   , -   ,96,32,30, -   , -   ,
Maldives,MDV,"540,542",1, -   ,1, -   ,0,0,0,0, -   , -   ,,154, -   ,154, -   ,65,37,22,30, -   , -   ,
Taiwan Province of China,TWN,"23,816,775",36, -   ,36, -   ,33,3, -   ,1, -   , -   ,,151, -   ,151, -   ,136,12, -   ,2, -   , -   ,
Cabo Verde,CPV,"555,988",1,0,1, -   , -   , -   ,0,0, -   ,0,,132,18,150, -   , -   , -   ,39,30, -   ,63,
Turkey,TUR,"84,339,067",120, -   ,120, -   ,120, -   , -   , -   , -   , -   ,,142, -   ,142, -   ,142, -   , -   , -   , -   , -   ,
Argentina,ARG,"45,195,777",63,1,64, -   ,49,2,0,2, -   ,10,,140,1,142, -   ,109,4,1,4, -   ,22,
Dominican Republic,DOM,"10,847,904",15, -   ,15, -   ,14,0, -   ,1, -   , -   ,,138, -   ,138, -   ,133,0, -   ,5, -   , -   ,
El Salvador,SLV,"6,486,201",8,1,9, -   ,4,1,2,2, -   , -   ,,120,15,135, -   ,57,10,23,30, -   , -   ,
Fiji,FJI,"896,444",1,0,1, -   , -   ,1,0,0, -   , -   ,,125,6,131, -   , -   ,84,12,30, -   , -   ,
Sao Tome and Principe,STP,"219,161",0, -   ,0, -   , -   , -   ,0,0, -   ,0,,128, -   ,128, -   , -   , -   ,5,30, -   ,92,
Brazil,BRA,"212,559,409",334,-71,263, -   ,326,3, -   ,5, -   , -   ,,157,-33,124, -   ,153,1, -   ,2, -   , -   ,
Trinidad and Tobago,TTO,"1,399,491",2, -   ,2, -   ,1,0, -   ,0, -   ,1,,123, -   ,123, -   ,54,6, -   ,6, -   ,57,
Morocco,MAR,"36,910,558",45,1,45, -   ,33, -   ,1,11, -   , -   ,,121,1,122, -   ,89, -   ,1,30, -   , -   ,
Guyana,GUY,"786,559",1,0,1, -   ,0,0,0,0, -   ,0,,114,6,121, -   ,51,12,4,30, -   ,18,
Lesotho,LSO,"2,142,252",3,0,3, -   , -   , -   ,0,1, -   ,2,,117,2,119, -   , -   , -   ,15,30, -   ,72,
Peru,PER,"32,971,846",38,1,39, -   ,35,1,0,2, -   , -   ,,116,3,119, -   ,107,3,0,6, -   , -   ,
Philippines,PHL,"109,581,085",135,-7,129, -   ,83,3,5,33, -   ,12,,123,-6,117, -   ,75,3,4,30, -   ,10,
Sri Lanka,LKA,"21,413,250",45,-21,25, -   ,21,2,1,6, -   ,15,,211,-96,115, -   ,98,8,7,30, -   ,68,
Honduras,HND,"9,904,608",11, -   ,11, -   ,6,0,2,3, -   , -   ,,111, -   ,111, -   ,64,1,16,30, -   , -   ,
"Egypt, Arab Rep.",EGY,"102,334,403",118,-10,108, -   ,58,1,3,31, -   ,27,,115,-10,106, -   ,56,1,3,30, -   ,26,
Panama,PAN,"4,314,768",5, -   ,5, -   ,4,0, -   ,0, -   , -   ,,105, -   ,105, -   ,94,6, -   ,6, -   , -   ,
Zimbabwe,ZWE,"14,862,927",15, -   ,15, -   ,4,0, -   ,4, -   ,7,,103, -   ,103, -   ,27,2, -   ,30, -   ,45,
Thailand,THA,"69,799,978",70, -   ,70, -   ,69,2, -   , -   , -   , -   ,,101, -   ,101, -   ,98,3, -   , -   , -   , -   ,
Hong Kong SAR,HKG,"7,496,988",8, -   ,8, -   ,8, -   , -   , -   , -   , -   ,,100, -   ,100, -   ,100, -   , -   , -   , -   , -   ,
Indonesia,IDN,"273,523,621",264,3,266, -   ,175,1,5,82, -   , -   ,,96,1,97, -   ,64,0,2,30, -   , -   ,
Mexico,MEX,"128,932,753",129,-4,125, -   ,124,1, -   ,3, -   , -   ,,100,-3,97, -   ,96,1, -   ,3, -   , -   ,
Guinea-Bissau,GNB,"1,967,998",2, -   ,2, -   , -   ,0,0,1, -   ,1,,95, -   ,95, -   , -   ,0,19,30, -   ,46,
Bolivia,BOL,"11,673,030",24,-13,11, -   ,18,0,1,4, -   , -   ,,202,-107,95, -   ,157,2,13,30, -   , -   ,
Vietnam,VNM,"97,338,583",110,-20,90, -   ,76,2,3,29, -   , -   ,,113,-21,93, -   ,78,2,3,30, -   , -   ,
Ghana,GHA,"31,072,945",28, -   ,28, -   ,0,0,2,9, -   ,17,,91, -   ,91, -   ,0,0,6,30, -   ,54,
United Arab Emirates,ARE,"9,890,400",2,7,9, -   ,2, -   , -   ,0, -   , -   ,,17,72,90, -   ,16, -   , -   ,1, -   , -   ,
Suriname,SUR,"586,634",1, -   ,1, -   , -   ,0,0,0, -   ,0,,89, -   ,89, -   , -   ,64,7,7, -   ,11,
