Last updated:   08/20/2021,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Countries and areas,ISO3,Population,"Secured Vaccine, Before Adjustment (millions of courses)",Adjustment (millions of courses),Secured Vaccine (millions of courses),Vaccine Needed to Reach 60% of Population (millions of courses),Bilateral Deals (millions of courses),Donations (millions of courses),COVAX donations (millions of courses),COVAX AMC/SFP (millions of courses),EU Deal (millions of courses),Other sources (millions of courses),Domestic Supply (millions of courses),"Secured Vaccine, Before Adjustment (% of population)",Adjustment (% of population),Secured Vaccine (% of population),Vaccine Needed to Reach 60% of Population (% of population),Bilateral Deals (% of population),Donations (% of population),COVAX donations (% of population),COVAX AMC/SFP (% of population),EU Deal (% of population),Other sources (% of population),Domestic Supply (% of population)
Canada,CAN,37742157,155,2,156,0,154,1,0,1,0,0,,410,4,414,0,407,1,0,2,0,0,
New Zealand,NZL,4822233,16,0,16,0,16,0,0,0,0,0,,336,0,336,0,335,0,0,1,0,0,
Italy,ITA,60461828,200,0,200,0,35,0,0,0,165,0,,332,0,332,0,58,0,0,0,274,0,
Australia,AUS,25499881,83,0,83,0,83,0,0,0,0,0,,326,0,326,0,325,0,0,1,0,0,
Hungary,HUN,9660350,30,0,30,0,4,0,0,0,26,0,,310,0,310,0,36,0,0,0,274,0,
Slovak Republic,SVK,5459643,16,0,16,0,1,0,0,0,15,0,,292,0,292,0,18,0,0,0,274,0,
Germany,DEU,83783945,244,0,244,0,15,0,0,0,229,0,,292,0,292,0,18,0,0,0,274,0,
Cyprus,CYP,1207361,3,0,3,0,0,0,0,0,3,0,,283,0,283,0,0,9,0,0,274,0,
Mauritius,MUS,1271767,3,0,3,0,2,0,0,0,0,1,,274,0,274,0,138,28,13,7,0,89,
Czech Republic,CZE,10708982,29,0,29,0,0,0,0,0,29,0,,274,0,274,0,0,0,0,0,274,0,
Bulgaria,BGR,6948445,19,0,19,0,0,0,0,0,19,0,,274,0,274,0,0,0,0,0,274,0,
Finland,FIN,5540718,15,0,15,0,0,0,0,0,15,0,,274,0,274,0,0,0,0,0,274,0,
Spain,ESP,46754783,128,0,128,0,0,0,0,0,128,0,,274,0,274,0,0,0,0,0,274,0,
Estonia,EST,1326539,4,0,4,0,0,0,0,0,4,0,,274,0,274,0,0,0,0,0,274,0,
Poland,POL,37846605,104,0,104,0,0,0,0,0,104,0,,274,0,274,0,0,0,0,0,274,0,
Ireland,IRL,4937796,14,0,14,0,0,0,0,0,14,0,,274,0,274,0,0,0,0,0,274,0,
France,FRA,65273512,179,0,179,0,0,0,0,0,179,0,,274,0,274,0,0,0,0,0,274,0,
Lithuania,LTU,2722291,7,0,7,0,0,0,0,0,7,0,,274,0,274,0,0,0,0,0,274,0,
Romania,ROU,19237682,53,0,53,0,0,0,0,0,53,0,,274,0,274,0,0,0,0,0,274,0,
Latvia,LVA,1886202,5,0,5,0,0,0,0,0,5,0,,274,0,274,0,0,0,0,0,274,0,
Netherlands,NLD,17134873,47,0,47,0,0,0,0,0,47,0,,274,0,274,0,0,0,0,0,274,0,
Portugal,PRT,10196707,28,0,28,0,0,0,0,0,28,0,,274,0,274,0,0,0,0,0,274,0,
Croatia,HRV,4105268,11,0,11,0,0,0,0,0,11,0,,274,0,274,0,0,0,0,0,274,0,
Sweden,SWE,10099270,28,0,28,0,0,0,0,0,28,0,,274,0,274,0,0,0,0,0,274,0,
Slovenia,SVN,2078932,6,0,6,0,0,0,0,0,6,0,,274,0,274,0,0,0,0,0,274,0,
Malta,MLT,441539,1,0,1,0,0,0,0,0,1,0,,274,0,274,0,0,0,0,0,274,0,
Greece,GRC,10423056,29,0,29,0,0,0,0,0,29,0,,274,0,274,0,0,0,0,0,274,0,
Austria,AUT,9006400,25,0,25,0,0,0,0,0,25,0,,274,0,274,0,0,0,0,0,274,0,
Luxembourg,LUX,625976,2,0,2,0,0,0,0,0,2,0,,274,0,274,0,0,0,0,0,274,0,
Denmark,DNK,5792203,16,0,16,0,0,0,0,0,16,0,,274,0,274,0,0,0,0,0,274,0,
Belgium,BEL,11589616,32,0,32,0,0,0,0,0,32,0,,274,0,274,0,0,0,0,0,274,0,
Israel,ISR,8655541,22,0,22,0,22,0,0,0,0,0,,256,0,256,0,255,0,0,1,0,0,
United Kingdom,GBR,67886004,169,0,169,0,169,0,0,0,0,0,,249,0,249,0,248,0,0,0,0,0,
Seychelles,SYC,98340,0,0,0,0,0,0,0,0,0,0,,242,0,242,0,0,51,18,0,0,173,
United States,USA,331002647,800,0,800,0,800,0,0,0,0,0,,242,0,242,0,242,0,0,0,0,0,
Chile,CHL,19116209,43,0,43,0,43,0,0,1,0,0,,227,0,227,0,224,0,0,3,0,0,
Iceland,ISL,341250,0,1,1,0,0,0,0,0,0,0,,0,189,189,0,0,0,0,0,0,0,
Switzerland,CHE,8654618,16,0,16,0,16,0,0,0,0,0,,188,0,188,0,188,0,0,0,0,0,
Korea,KOR,51269183,91,0,91,0,89,1,0,1,0,0,,178,0,178,0,174,2,0,2,0,0,
Japan,JPN,126476458,207,0,207,0,207,0,0,0,0,0,,164,0,164,0,164,0,0,0,0,0,
Bhutan,BTN,771612,1,0,1,0,0,1,0,0,0,0,,126,32,158,0,0,96,0,30,0,0,
Malaysia,MYS,32365998,50,0,50,0,48,1,0,1,0,0,,155,0,155,0,149,4,0,2,0,0,
Maldives,MDV,540542,1,0,1,0,0,0,0,0,0,0,,154,0,154,0,65,37,22,30,0,0,
Taiwan Province of China,TWN,23816775,36,0,36,0,33,3,0,1,0,0,,151,0,151,0,136,12,0,2,0,0,
Turkey,TUR,84339067,120,0,120,0,120,0,0,0,0,0,,142,0,142,0,142,0,0,0,0,0,
Argentina,ARG,45195777,63,1,63,0,49,2,0,2,0,10,,139,1,140,0,109,4,0,4,0,22,
Dominican Republic,DOM,10847904,15,0,15,0,14,0,0,1,0,0,,138,0,138,0,133,0,0,5,0,0,
El Salvador,SLV,6486201,6,3,9,0,4,1,0,2,0,0,,97,39,135,0,57,10,0,30,0,0,
Cabo Verde,CPV,555988,1,0,1,0,0,0,0,0,0,0,,114,18,132,0,0,0,21,30,0,63,
Sao Tome and Principe,STP,219161,0,0,0,0,0,0,0,0,0,0,,128,0,128,0,0,0,5,30,0,92,
Brazil,BRA,212559409,334,-71,263,0,326,3,0,5,0,0,,157,-33,124,0,153,1,0,2,0,0,
Trinidad and Tobago,TTO,1399491,2,0,2,0,1,0,0,0,0,1,,123,0,123,0,54,6,0,6,0,57,
Fiji,FJI,896444,1,0,1,0,0,1,0,0,0,0,,117,6,122,0,0,84,3,30,0,0,
Morocco,MAR,36910558,44,1,45,0,33,0,0,11,0,0,,120,1,122,0,89,0,1,30,0,0,
Lesotho,LSO,2142252,3,0,3,0,0,0,0,1,0,2,,117,2,119,0,0,0,15,30,0,72,
Peru,PER,32971846,38,1,39,0,35,1,0,2,0,0,,116,3,119,0,107,3,0,6,0,0,
Guyana,GUY,786559,1,0,1,0,0,0,0,0,0,0,,109,6,115,0,51,7,4,30,0,18,
Philippines,PHL,109581085,132,-7,125,0,83,1,3,33,0,12,,120,-6,114,0,75,1,3,30,0,10,
